Avg.Area Income,House Age,Number of Rooms,Number of Bedrooms,Population,Price
57279,5,7,3,44024,852099
56554,6,7,3,29682,746097
75796,6,7,6,33198,1534480
70849,5,7,3,40459,1215609
59787,6,7,3,32402,941594
64826,4,8,4,60286,1204598
65926,8,7,3,34171,1597655
64419,7,9,6,39318,1492011
58544,9,7,4,30866,1421217
68792,5,7,4,48423,1132523
82062,4,6,4,36271,1102821
80660,5,7,6,52947,1856211
66668,6,8,3,47075,1687999
64722,6,7,4,36116,1063423
65200,6,7,3,28366,1177290
74580,5,6,3,42806,1173474
76274,8,5,3,46975,1637260
67562,5,8,4,35518,1238938
48905,5,5,3,32961,201898
72146,6,8,6,28883,1439506
70806,4,6,3,29269,585609
65383,8,7,3,35114,1294685
95450,7,7,3,39389,2014851
73699,6,7,4,51815,1840236
66264,6,7,4,49830,1441422
75395,7,8,4,22268,1498641
65985,7,6,2,21867,954747
66477,7,6,2,32459,1124636
69284,5,7,3,40283,1169944
70404,6,6,2,37128,1114431
74218,8,7,4,46771,1783535
63442,6,7,3,48062,1302933
57494,7,7,4,47039,1241484
81544,6,6,2,9816,954115
78634,5,8,3,43729,1555321
52203,5,4,2,42166,404976
67980,6,6,2,25909,1073184
78568,5,6,2,41017,1422196
55473,5,6,3,15354,340605
67579,6,8,6,21763,1170960
61456,7,6,4,30821,942838
60815,7,8,4,31234,1401614
51217,5,9,3,47089,1175504
63028,5,6,2,35992,608794
62485,6,7,5,26883,946943
73923,7,7,6,58745,1819901
79738,7,7,2,28307,1463130
63890,5,8,5,43416,1252391
67310,7,8,5,43311,1714445
73146,4,7,3,49463,1291759
86924,7,8,6,28719,1809154
74384,7,5,2,17117,1200539
67478,7,8,5,29764,1300265
71203,4,7,4,34207,997449
85845,7,9,3,46478,2152959
72139,7,8,5,35800,1629984
44806,4,5,3,57391,497579
67504,5,6,4,37441,890113
74706,5,6,2,39681,1064686
68898,7,8,6,39516,1530124
58118,8,6,4,35598,1246247
77643,6,5,4,35512,1240755
67770,8,7,4,33255,1760735
74411,6,7,6,43538,1393747
73101,4,9,4,29498,1172386
58708,5,6,4,15970,483986
63876,7,7,3,38053,1388530
68343,6,8,6,40654,1721739
73065,6,7,6,30699,1276449
67367,7,7,2,32547,1161743
66547,6,5,2,16742,786408
73314,6,8,4,37809,1604921
47681,7,8,5,50909,1230149
67911,6,7,4,31380,1051645
69278,6,8,5,43718,1415074
67947,5,6,3,35198,1043484
90975,5,8,6,44426,1544380
61886,5,7,3,48727,1352136
69402,7,8,3,29293,1505727
72969,6,8,4,31756,1416966
75582,6,7,4,31946,1046722
56241,6,7,2,32745,939040
79413,6,7,3,17569,1383031
79618,5,7,3,29637,1072503
67019,6,7,6,24997,1134398
56063,5,5,4,39129,734828
57078,6,7,4,33394,991892
75955,4,7,5,34468,1057253
52576,7,7,4,41829,1237225
63313,6,8,4,43230,1442633
82527,6,8,4,43948,1877402
73205,7,7,6,35091,1394518
56357,6,5,3,38062,953939
71317,7,7,5,21652,1219778
75047,5,9,3,32468,1287325
84474,7,6,2,38678,1739894
68163,7,7,3,31844,1213382
62784,8,5,3,35122,1007479
67010,7,8,3,39737,1528756
67437,7,7,2,29356,1182460
65968,7,8,3,35800,1474547
42816,8,7,4,47458,1078017
83348,5,5,3,48227,1453382
81700,5,6,4,39527,1495013
56144,5,7,4,45084,714148
59514,5,6,3,44162,894292
78379,6,6,3,31357,1159842
70877,7,7,5,36033,1195986
61527,7,9,6,27308,1381431
65317,7,7,2,55799,1534890
76269,7,6,3,38650,1494125
48531,7,9,5,39731,1356146
82907,6,6,4,38820,1454943
63118,5,6,2,43092,774118
75861,4,5,3,41004,889113
68845,5,7,3,48392,1211102
52446,6,7,3,32935,658646
69343,6,8,3,37082,1400105
55932,7,6,4,42488,1262018
53307,5,6,2,39063,553077
56977,6,7,3,46376,1203248
51296,6,8,6,32079,1115323
63995,8,7,5,24748,1301881
71915,6,6,4,27714,1006687
62138,5,7,5,19046,749383
78051,5,6,4,27790,1075597
67371,5,7,4,24798,739871
59363,7,8,3,44723,1442945
57003,7,6,3,29595,828497
68989,6,8,6,32630,1373291
70970,5,6,3,24834,925566
82252,8,8,6,18409,1552537
71306,6,7,2,43284,1335905
70922,6,6,3,29390,960808
70739,7,7,6,35149,1405933
58098,6,6,3,19903,619088
51274,7,7,2,53812,1329273
76327,5,5,3,42780,1261844
63584,6,6,4,46340,1175781
86340,5,6,3,35631,1437054
79471,6,8,6,36616,1594415
55880,6,5,2,37360,931358
40504,7,7,3,45979,798640
83394,6,6,2,30488,1451740
64501,6,7,5,43869,1278992
59570,6,7,4,31295,885921
69280,7,7,4,40291,1425633
66342,6,7,3,11793,901882
73367,6,9,5,23685,1521731
57122,6,6,2,41973,716771
61979,8,8,5,56957,1696717
54300,7,7,2,39513,819598
71424,6,9,3,37243,1584214
57353,8,6,4,16906,798893
44731,4,9,5,39633,601973
76175,5,10,4,30761,1456486
66575,6,7,2,69575,1702406
91731,5,8,6,33102,1566471
75487,6,8,4,41105,1592210
58088,6,6,4,51925,937628
76319,7,6,3,48026,1558548
60575,6,7,2,32159,1156329
69607,7,8,3,34609,1514350
67057,5,7,5,25135,1039107
60641,5,5,2,43120,809090
69032,6,6,3,15660,675536
80356,5,10,5,16215,1373590
60081,7,8,4,60196,1690091
61881,7,7,5,35597,1253370
59591,7,6,2,24154,774074
89831,5,8,6,45335,1741960
72175,7,7,2,50306,1705763
67589,6,6,2,33203,1071110
77300,5,7,4,29499,1118048
65383,5,8,6,41723,1165253
71145,6,7,2,35643,1280910
61053,6,6,2,40676,841123
65126,6,7,4,37643,1228811
51949,6,8,5,35336,1086072
75898,5,7,3,34163,1204372
71468,6,6,3,43269,1345004
53288,6,7,3,45152,1116902
61503,5,7,3,37651,822432
68896,6,8,4,28395,1360624
91159,7,7,3,54861,2298379
63375,7,8,3,45633,1400498
59696,5,6,2,20703,566849
63184,6,8,5,58691,1367586
61178,7,7,5,26396,1113374
58642,5,6,3,35132,721975
53112,5,6,4,40367,685504
40367,5,8,5,16349,152072
62207,7,7,5,34318,1280432
57478,5,7,6,23650,568703
55630,6,9,6,38943,1200765
72399,7,8,6,41662,1607162
89869,5,7,5,30102,1421715
59801,4,5,2,33535,311111
61957,8,7,4,38448,1338044
71123,7,6,3,44020,1417871
55203,4,8,3,28425,796389
79298,7,5,3,15753,1310207
65071,7,6,4,24853,994898
68495,7,7,5,13999,1202988
55702,6,6,3,40088,768752
57234,8,6,2,37375,1211655
85314,6,7,4,23974,1540418
60225,5,5,3,42183,712228
73874,7,7,3,33336,1525533
63149,7,6,2,37579,1034218
58594,5,6,2,39288,874104
73840,6,8,4,47603,1912825
75985,7,8,4,42249,1754771
82145,7,7,4,25736,1340067
69017,6,6,3,55831,1446757
75429,7,8,5,36769,1592768
69514,4,8,6,14054,660365
57782,5,6,2,33427,861322
74372,7,8,6,34322,1648247
63522,6,7,2,31996,977136
61194,8,9,3,33196,1591934
60317,4,6,4,33832,695386
58470,5,5,2,33548,568977
75180,5,7,5,23978,935591
56187,4,9,5,41856,984312
73225,6,7,2,61831,1796246
74339,5,5,4,18057,720080
52188,6,6,4,42496,783808
83311,7,8,3,30386,1598616
72289,7,8,5,39147,1564125
54866,7,7,3,35193,929481
85760,5,9,6,25898,1414495
59453,6,7,6,29698,837668
69879,7,6,4,26814,1197515
59243,7,7,4,51405,1232005
57853,7,7,4,47688,1285933
66643,6,8,4,30971,1361522
69248,6,6,2,35990,1090826
75130,6,7,3,41620,1475320
76210,7,5,4,22722,1066659
69342,6,8,3,21642,1117433
77631,7,7,2,31740,1420284
68929,8,7,3,173,840273
70991,6,5,2,30904,1024908
55861,8,9,5,40335,1494241
56381,6,7,4,43994,1125880
64306,5,8,4,30762,1082455
76548,7,7,3,40565,1554635
57102,5,8,6,41104,1011365
76193,7,7,6,21246,1432757
79586,6,8,4,31773,1612718
70760,6,5,4,25982,973300
76907,5,6,4,21658,679229
64745,6,8,6,28880,1271000
51976,5,7,4,36360,910211
61253,5,7,4,40890,1026272
58841,8,7,4,39555,1496730
79113,6,8,5,33772,1490539
76056,6,8,5,28471,1491838
52400,7,9,3,18092,996771
77552,6,5,2,35834,1064854
64161,6,7,4,32339,985750
71167,7,9,4,35175,1952622
84964,7,6,3,40447,1754969
59713,6,7,3,42602,1122240
77734,6,6,3,32075,1236932
85707,4,6,4,10424,966084
70280,5,5,4,39663,852269
69331,7,6,2,30098,1280670
72989,6,6,3,50567,1190214
65698,6,7,4,28742,1123851
76245,8,8,3,32016,1689120
53547,7,8,3,45504,1573348
73643,7,8,3,43152,1696978
84774,7,5,2,32384,1414287
58141,5,7,2,49338,755292
61881,6,6,2,21397,714706
75312,5,7,4,9488,944002
81329,6,7,3,31232,1523136
77931,7,7,3,23183,1422917
84603,7,7,6,39683,1945619
72445,5,7,2,69554,1726719
57497,7,8,5,43204,1051124
87266,8,7,5,45161,2249123
62432,7,9,4,44116,1523915
72107,5,7,3,29981,1039518
55577,7,7,3,19560,818058
62328,5,7,4,43364,1115467
73931,6,7,2,29569,1258179
63429,6,8,3,37999,1435424
73424,6,6,3,34712,1153470
75176,9,5,2,22367,1425603
56636,6,8,4,28139,1048351
67666,6,6,3,24758,1214482
65987,5,7,2,24057,821859
54274,6,7,4,24233,753652
75548,4,7,6,40043,1220001
70151,7,8,5,15255,1075675
74449,6,7,3,24838,1396082
66920,8,7,6,18868,1137802
68474,6,6,2,43147,1159954
76113,6,8,5,26482,1487850
61212,6,6,4,32046,1103072
59769,6,7,3,26203,897291
78848,6,7,3,20654,1214321
75735,6,8,5,37268,1364363
77847,5,7,3,30232,1249093
56231,5,5,2,52657,946479
89163,5,6,2,44016,1659805
62377,6,7,4,39076,1285400
68864,6,5,4,29802,898282
82441,6,7,5,27546,1483848
60949,7,6,2,39754,1353488
69730,6,7,5,31720,1268704
75492,6,7,6,26014,1448574
80648,6,6,3,35092,1343606
84037,8,6,4,32767,1511538
76590,6,8,3,40643,1662039
63534,6,8,3,38129,1166673
67270,6,7,6,41780,1375633
50887,4,7,4,47731,839638
80597,6,8,3,34488,1638265
66041,6,8,5,40164,1385400
81316,4,7,3,35590,1153233
67877,5,8,5,43301,1370178
69307,6,7,2,36851,1181877
61201,5,6,4,42790,894251
70619,6,8,5,37866,1421136
69911,6,6,4,38441,1028964
64889,4,8,3,25905,923508
69900,6,8,6,32679,1599634
79045,6,8,5,24722,1369186
76460,7,7,4,46851,1748783
58308,6,8,4,25509,1150878
56679,5,9,5,40785,1110599
58823,6,7,4,38683,1159207
80836,6,7,3,49864,1811377
67710,6,8,4,25222,1267443
70028,7,5,3,40513,1352548
36100,6,5,2,44902,599504
67217,5,6,4,24000,717213
63657,6,6,3,36392,1008713
71468,5,5,3,36378,1071596
62990,7,7,4,36913,1397342
69327,6,7,6,31055,1313305
94902,6,8,3,41662,2106511
79579,5,7,3,31756,1306459
73756,5,6,3,59485,1354929
65874,7,9,4,39786,1582766
52934,6,6,3,46521,847155
82831,6,7,4,32027,1342246
73931,5,8,4,42702,1363087
58557,5,7,6,54167,1275319
51718,8,7,3,49639,1285924
69808,7,7,3,51453,1789608
79628,5,6,2,31639,1196064
97112,6,6,3,51470,1917584
74354,7,6,4,30091,1370274
72481,6,8,3,45160,1677204
73093,6,6,2,41796,1439714
51993,7,7,3,21760,1012263
66484,5,9,3,51712,1511743
81182,5,7,4,34141,1131155
79104,4,7,4,25768,764860
75070,7,6,2,44683,1681316
44689,5,6,3,25121,291724
73726,4,7,3,28667,1013252
64039,4,8,4,54131,1194710
69897,6,8,4,38181,1463003
73723,7,9,6,24723,1453328
79997,6,7,3,28068,1291506
61539,7,7,6,51154,1625508
47065,6,7,5,24126,566896
82382,5,8,4,36655,1468513
80857,5,9,3,44385,1573106
60894,4,8,5,49077,968361
66356,7,7,3,38023,1309986
78438,7,5,4,35220,1361219
61216,7,9,6,36495,1465120
64908,7,8,5,46677,1571465
80009,5,9,5,45890,1629098
71356,5,7,5,36998,1182336
72433,6,6,3,35039,1010814
67284,5,6,3,24943,924729
62653,7,8,3,41468,1382110
63969,6,9,3,27405,1366728
74234,6,7,4,32876,1297850
59729,8,7,6,31202,1196688
81132,6,7,4,32312,1281113
68501,6,7,5,51747,1530730
55050,7,7,6,29424,1208665
76840,6,7,5,29860,1417276
63429,5,7,6,42997,1195602
90592,8,10,5,37224,2469066
56685,7,8,3,43322,1223101
69231,6,5,2,43072,1220277
68917,7,6,3,42745,1311765
60509,7,9,6,28410,1198314
85719,5,6,3,32058,1187609
62134,7,7,2,32157,1399663
73435,6,9,4,36240,1597777
55613,8,7,4,42259,1355022
70880,7,8,5,22432,1137059
67461,5,8,3,34573,1053815
84440,4,8,4,19835,1242422
67802,6,8,3,36130,1222041
62685,6,7,2,42019,1025461
71392,4,8,4,36010,859428
59051,6,7,5,37741,1279804
87896,8,6,4,23876,1671669
70276,7,7,3,26630,1525602
72640,4,8,4,31471,998774
62894,7,7,4,20317,1012322
50846,5,8,3,45357,1252419
78688,6,7,6,47812,1869313
76397,8,7,3,45281,1800686
62163,6,7,6,47747,1393100
75091,6,6,4,39457,1166558
61801,5,7,5,36327,988175
77430,7,7,4,30108,1540481
74389,4,6,3,33763,866142
62567,5,6,2,29366,557362
68895,6,7,4,28852,1033291
68738,4,6,3,47445,1084945
74278,7,3,3,50234,1365081
81281,6,5,4,34933,1239460
86305,8,7,4,37854,2056693
59302,7,6,3,25297,1045395
81385,6,6,2,47897,1679205
64115,6,7,5,34312,1158743
90437,7,8,6,13340,1647279
75941,6,9,5,49975,1702091
70103,7,7,3,28281,1379386
69951,5,9,4,23734,1358527
65736,6,6,3,32964,991399
53825,6,6,4,27373,957118
86625,7,6,3,42759,1638969
69376,5,6,2,18226,714142
68423,6,4,2,13346,760876
68721,5,7,2,45887,1343537
70006,5,6,2,40325,1056994
66615,6,7,4,16654,1088222
58978,7,8,3,44072,1308984
64539,6,9,3,36678,1548323
76008,5,8,4,39843,1411749
87119,7,7,4,34672,1601904
62850,6,7,4,37764,1277297
66295,6,7,3,28112,1061552
63186,7,7,3,40081,1115013
74256,4,7,3,34684,1020843
71668,8,7,4,31352,1440962
54476,6,6,2,33534,817377
85282,7,7,2,22888,1381537
72138,5,9,3,38259,1273067
66113,8,7,6,20795,1376715
67047,6,7,2,37937,1293747
89359,6,7,3,34064,1750908
50189,7,5,3,35044,555811
73120,7,7,5,35427,1578829
67973,5,6,3,27865,911202
71740,7,8,5,37031,1628752
67293,6,7,2,41838,1245401
70243,6,6,2,24648,993725
78275,5,9,4,56300,1816099
84333,6,9,4,33107,1570583
79551,7,8,4,43637,1626321
79698,4,7,2,42046,1262494
71189,6,6,3,40656,1185227
74605,7,6,3,31638,1360329
71223,5,8,3,54678,1350459
80973,5,7,2,48037,1556988
51044,6,8,4,37730,886036
65067,6,8,6,27940,1129613
76260,5,7,3,19263,1070240
77456,6,7,3,37998,1587015
75377,4,8,3,25549,1146322
79674,6,8,5,17863,1377447
64408,6,6,3,40818,1113571
67932,7,6,2,51145,1593837
75147,4,9,6,55578,1560747
55378,7,7,2,41417,977981
78113,5,7,2,43346,1292592
81517,5,9,5,33263,1458913
70307,7,6,2,29572,1037780
91392,7,7,6,33380,1792255
51111,6,7,2,38408,882170
99629,5,7,5,36951,1883481
72657,7,6,3,38568,1268600
71938,5,8,3,20097,1157189
69503,5,7,4,45267,1180989
75288,7,8,3,39220,1813044
56754,5,6,2,52718,866666
78044,6,8,6,43772,1671350
74839,6,8,6,23637,1137468
51580,6,5,4,37511,711499
85261,8,6,2,52359,1940195
49733,8,9,4,43559,1496466
76752,5,8,3,32296,1448995
64596,6,6,4,29669,924272
88795,6,7,6,37995,1747005
69909,6,8,4,39347,1576286
89909,7,7,4,37296,1712281
76279,7,7,4,49251,1852376
55405,8,6,4,18257,1007596
68271,6,7,4,31159,1034779
71275,6,6,4,28923,1006545
53080,5,6,2,33083,736799
66691,7,7,3,22619,1109006
61644,7,8,5,27809,1384140
80016,6,9,3,52470,2084884
62592,5,7,4,32210,801195
70674,6,6,3,58256,1412243
82535,7,8,4,43272,1890789
82610,6,7,5,34881,1841904
84777,6,7,6,26953,1467075
51919,6,7,3,24734,661043
68858,6,6,3,28847,978035
53419,6,8,4,33573,1250882
70696,7,6,3,43313,1409239
70902,6,6,3,36769,1162747
62043,6,7,6,23250,878863
61411,6,7,3,49175,1338425
58293,6,7,5,45033,1094348
70852,6,7,4,27025,1195898
65670,5,8,5,40116,1050240
64823,5,7,5,36481,914231
68363,6,6,3,20668,864484
70597,7,7,3,51615,1599479
67947,7,7,4,35681,1336356
96807,6,7,5,29269,1808341
66734,7,7,3,35193,1424283
80665,6,7,3,40952,1471800
75379,7,7,4,28301,1347622
65199,7,8,5,23581,1163742
78739,7,6,2,28884,1450625
66698,7,6,3,25897,982298
58822,5,9,5,34142,868314
75094,6,7,4,27248,1231512
68709,5,6,4,16668,663129
68193,6,6,3,46821,1210497
84090,6,7,2,25128,1409033
69278,5,7,5,57408,1356385
63833,7,6,4,28929,1125476
70699,7,7,4,22988,1129976
68258,4,7,6,36205,1003643
62699,6,7,4,37816,1306368
76934,9,7,6,33433,1775875
65960,7,6,3,29803,1036685
78020,7,7,2,49601,1869929
69559,7,7,2,42014,1381086
90890,8,8,6,45519,2252243
56901,7,6,3,13704,787040
59206,6,8,6,28805,957284
65302,6,6,2,43819,1173695
86369,7,5,3,43683,1713162
71500,6,7,3,41871,1325503
69313,7,8,3,44237,1501498
77797,7,6,2,33847,1573580
55631,5,6,4,30884,693567
70836,7,6,4,37048,1524587
62153,7,6,3,42785,1048818
66920,6,7,4,38859,1310764
79868,4,7,5,54228,1537330
73145,6,7,2,41209,1244881
54535,5,7,4,30852,732733
72240,5,9,4,25013,1095807
47266,5,5,3,33422,476006
82552,8,5,4,40086,1599911
72232,6,8,3,49669,1675826
71625,6,7,6,29090,1175869
71670,7,7,4,31709,1135079
86157,5,6,2,62964,1833209
82416,5,7,3,15290,1120350
69567,6,6,2,37491,1080736
66684,6,7,2,37226,1168575
71743,8,8,5,44675,1919693
55474,6,8,5,48022,1466606
66262,7,8,6,26264,1234037
65380,8,7,6,21641,1269486
73432,6,6,3,31148,1176112
76170,6,6,2,50352,1371298
72631,5,7,5,34119,1246509
64602,6,8,4,24117,1020269
55995,8,7,4,20896,1130415
58302,5,8,6,32759,890560
66580,8,7,3,35827,1417159
73830,6,6,4,51386,1376493
86641,6,6,3,22432,1306207
80535,6,8,5,25692,1275209
51474,6,8,5,38952,902521
69334,6,7,2,17187,872312
55555,6,8,5,44903,994517
64055,8,7,5,27805,1289008
76811,8,7,4,27770,1610007
78030,7,7,3,42433,1843721
76922,7,7,4,44921,1891949
63834,6,8,5,34482,1451078
69120,7,7,5,36632,1481941
65455,4,8,3,47741,1144478
53067,8,7,5,46133,1279946
59519,6,9,6,42177,1193021
64725,7,5,4,43834,1167119
83937,7,6,2,25569,1225613
70298,7,4,2,33458,1131619
79337,6,8,3,41521,1697502
63579,6,7,3,42323,1365497
65125,5,6,4,19162,622450
84365,5,7,3,50521,1551095
76287,7,5,2,35213,1299127
56433,6,9,3,46059,1290325
83407,5,7,6,25351,1183884
74868,6,8,4,33769,1305934
55698,7,8,6,49507,1279118
59576,4,7,3,37154,786559
69606,8,7,3,35427,1588196
67664,5,8,3,30546,976649
75354,7,7,3,21574,1250867
63750,6,7,3,40582,1046627
72263,6,5,4,28428,1115935
69246,6,6,2,35006,1077814
65466,6,7,3,31298,1047689
107702,7,9,3,37619,2332111
58829,7,6,3,31237,956435
94651,7,7,5,27798,1892624
49851,5,5,3,32512,283208
61523,6,9,6,30399,1176021
59082,5,7,3,33463,783819
80732,8,7,6,28955,1625703
88222,7,7,2,34795,1961847
70652,5,6,2,35340,1084556
79289,6,6,2,41321,1428247
73970,6,8,6,39664,1634946
62857,5,6,4,48340,915993
72991,3,6,2,50626,1042374
62795,4,8,5,31162,879618
71806,6,6,2,47563,1210432
69585,5,8,6,17046,1059262
62357,7,7,5,23383,972418
59717,5,7,5,41273,1242979
71094,6,6,3,37143,1096846
76336,6,8,3,37258,1392685
54762,4,8,5,58460,1080465
61666,6,6,2,34605,821413
92280,7,8,4,38004,2237778
74313,6,8,3,43907,1518320
70027,6,8,3,38102,1503552
68524,6,6,2,48112,1219154
87928,6,5,2,34724,1276259
74082,7,7,2,32617,1400497
72245,6,6,2,25509,1127175
63555,5,8,3,41839,1251664
74171,6,7,2,40719,1469355
70006,5,7,4,25136,946556
67548,7,7,4,28132,1150659
61777,7,8,3,27971,1325820
69201,6,7,4,31085,1150094
66887,6,7,3,23806,1009142
83201,6,7,5,43837,1705276
59945,6,8,4,28999,829795
53676,6,7,2,47027,1046443
64075,5,7,4,40211,1152269
77324,5,7,2,32840,1091480
76870,5,6,4,25656,1039915
55897,4,8,5,31094,565733
87766,5,8,6,39910,1739628
78332,6,8,3,31033,1442129
74570,4,5,2,39184,1004125
87315,5,7,2,25225,1143621
78020,5,6,2,36689,1060241
64433,7,7,4,50851,1548963
74333,5,8,6,30212,1056984
74664,8,6,3,23818,1447353
73406,6,6,4,38074,1251566
58464,5,7,3,25157,751969
61601,5,7,2,37458,764955
75155,6,6,4,51563,1539959
67829,6,6,2,27128,962747
50145,6,8,3,43233,1353854
86557,5,9,5,42757,1850526
87734,6,6,3,43943,1778412
65846,7,8,3,22355,1369006
45551,7,6,2,49839,1197975
89947,7,8,4,40503,1930144
72793,8,7,2,34104,1481946
68709,6,9,4,31660,1347579
87507,5,5,3,32700,1358647
62862,5,7,3,37255,931768
59054,5,7,5,51384,1205963
45978,5,8,3,36063,792146
80281,6,8,5,45424,1618671
65909,5,7,3,24081,864447
55930,6,7,3,24899,662630
77588,6,7,4,37280,1485146
62637,6,6,3,51456,1047227
76142,4,9,4,41931,1392794
63524,6,5,4,48124,943575
85673,7,6,2,33111,1793399
49268,6,8,6,41349,881273
87978,8,8,5,39586,2138714
78785,7,7,2,33603,1540870
79272,8,7,4,28904,1707650
62755,6,7,3,41525,1025705
81945,6,7,4,34262,1541186
67384,7,8,6,48918,1930344
67283,6,8,4,42769,1481147
57870,5,6,3,44475,1099725
64968,7,7,3,28164,1190867
69701,7,5,4,21935,1070319
74491,5,8,4,35563,1358214
54827,7,8,6,45027,1198725
74370,7,8,3,45992,1774715
81358,6,6,4,51019,1538904
73186,6,7,4,54681,1462361
53527,5,6,3,51611,953262
64736,7,7,3,47717,1427109
68489,5,7,4,28298,769577
49424,7,5,2,18657,668255
62033,5,7,4,25267,800809
64507,6,8,6,41521,1427202
51178,7,7,3,31822,783566
64290,4,7,3,54157,949072
61482,7,8,3,50245,1693592
70131,8,10,4,26794,1675557
84923,7,6,4,43232,1943360
63234,5,7,2,49272,1106261
53777,7,6,4,29324,978767
67125,5,8,5,22651,997827
66008,6,5,4,45400,1062206
64838,6,9,4,32921,1382172
83889,7,6,4,17958,1281741
78846,7,8,6,41261,1592665
72556,5,7,6,31487,1247558
62070,6,7,3,27099,779208
88698,5,7,3,29936,1222761
57216,7,8,6,35046,1380715
53712,4,7,2,31914,704884
77331,6,6,3,49571,1530481
66556,6,8,4,45326,1780415
74864,6,8,6,46251,1709667
62562,5,8,3,37446,852566
77822,5,7,2,33933,1185310
79580,6,9,6,43215,1795093
69923,4,6,4,45202,956242
63880,5,7,4,56267,1224455
59155,4,6,2,26568,552279
52835,8,8,5,34537,1186357
63750,7,9,3,47248,1582262
81742,5,8,5,29756,1478028
77595,7,7,5,24294,1386306
79843,6,7,3,42453,1424787
77082,4,7,6,40080,1206937
70714,5,8,5,29436,1209288
63798,6,7,2,26627,1029870
45914,5,6,4,26309,300464
88190,5,7,2,25177,1294278
72011,6,8,6,16377,1251757
52421,7,6,4,39766,1128403
74748,5,7,5,36072,1363669
80913,6,7,6,30034,1177745
59480,5,8,4,43704,980274
80951,5,6,4,38991,1524116
63856,7,7,3,31115,1311903
74728,6,7,5,27639,1119993
78095,7,7,3,32346,1538923
69690,4,6,4,27439,843633
54973,5,7,5,40413,903302
62571,6,7,4,41465,1161996
69371,5,5,3,33732,733300
82415,7,6,3,46298,1837931
52865,6,8,3,39157,962029
65856,7,8,6,45529,1477765
61310,8,7,4,33201,1419346
39412,4,7,4,45851,539483
77266,5,8,3,21558,1097702
74778,6,7,2,30013,1412274
67474,3,8,4,34972,1013443
68848,7,6,4,25880,893919
66148,6,7,4,31574,1234532
63596,6,7,3,19345,864703
60742,6,7,4,24534,977024
73541,4,7,5,39756,936149
74634,6,6,3,30601,1056977
62017,6,8,3,35750,1040607
84250,6,6,4,44571,1641102
44247,6,6,4,22012,503066
59474,7,8,6,41215,1296147
67839,7,7,3,26377,1164210
62972,7,5,2,33870,999815
61163,6,8,6,36034,1060898
87472,6,7,3,48307,1848634
48693,5,6,3,36239,617158
67859,5,6,3,29709,857697
72332,6,7,4,45804,1253434
80776,6,8,5,26602,1635092
75151,7,7,3,32032,1524845
62095,6,5,3,36183,763870
75759,5,8,4,46188,1376638
64374,8,7,6,23251,1244440
48148,6,8,6,32051,693932
64127,6,7,2,42629,1277745
83922,6,7,4,39570,1539329
54618,6,7,2,29614,903882
45493,7,7,3,38938,896944
72780,5,6,2,44954,1184759
96395,5,8,6,35036,1731437
47467,6,7,3,37342,762145
61807,6,8,5,44587,1270905
54794,6,8,4,39386,1000044
94923,6,8,3,43819,1967637
62059,7,6,3,28954,1114779
46952,6,6,4,31628,671662
